Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Pred Threat,anomaly_score,is_anomaly,hour,Access Restricted Files
ISSUE-0011,KEY-0011,Inadequate Firewall Configurations,1,Network Security,High,Closed,Reporter 6,Assignee 18,2024-04-23,2024-04-26 00:00:00.000000,2.9999999999999782,36.6,Critical,Operations,Steps to resolve Inadequate Firewall Configurations,2513291.0,KPI,User_20,2024-04-23 05:56:00,file_access,FR,CN,1472.0,26.0,13.0,1727.0000000000002,69.21097059819144,7036.0,12.12,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,5,
ISSUE-0012,KEY-0012,Inadequate Firewall Configurations,1,Network Security,Medium,Resolved,Reporter 6,Assignee 15,2023-08-09,2023-08-13 00:00:00.000000,4.0,44.49,Critical,Operations,Steps to resolve Inadequate Firewall Configurations,2083915.0,KPI,User_75,2023-08-09 13:57:00,data_modification,IN,IN,900.0,26.0,9.0,1387.4999999999998,22.16302630061893,7729.0,12.998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,13,
ISSUE-0013,KEY-0013,Supplier Security Compliance Gaps,1,Procurement Security,Medium,Closed,Reporter 9,Assignee 19,2024-07-28,2024-08-01 00:00:00.000000,4.0,43.01,Critical,C-Suite Executives,Steps to resolve Supplier Security Compliance Gaps,1242810.0,KPI,User_28,2024-07-28 20:24:00,file_access,USA,USA,900.0,26.0,9.0,3347.4999999999995,49.55245653203465,7130.0,12.701999999999998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,20,
ISSUE-0014,KEY-0014,Insufficient Access Control Measures,1,Control Effectiveness,Low,Closed,Reporter 9,Assignee 17,2024-07-13,2024-07-22 00:00:00.000000,9.00000000000002,33.09,Critical,Legal,Steps to resolve Insufficient Access Control Measures,546292.4999999999,KPI,User_95,2024-07-13 00:50:00,file_access,FR,JP,900.0,26.0,9.0,509.9999999999997,32.70558364407097,6767.0,10.168,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,0,
ISSUE-0015,KEY-0015,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,Resolved,Reporter 9,Assignee 13,2023-07-18,2023-07-23 00:00:00.000000,5.00000000000002,56.12,Critical,IT,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1557625.0000000002,KRI,User_67,2023-07-18 21:35:00,login,FR,FR,1855.0,27.0,9.0,4437.500000000001,44.10491112405981,4742.0,15.174,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,21,
ISSUE-0016,KEY-0016,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,In Progress,Reporter 7,Assignee 10,2025-03-16,2025-11-23 01:08:23.556405,252.00000000000009,46.75999999999999,Critical,Legal,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,202715.00000000003,KPI,User_44,2025-03-16 12:47:00,file_access,CANADA,CANADA,1538.0,26.0,18.0,577.5000000000003,22.06948707044318,4288.0,13.502,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,12,
ISSUE-0017,KEY-0017,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Resolved,Reporter 8,Assignee 16,2023-05-21,2023-05-25 00:00:00.000000,4.0,34.92999999999999,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,453505.0000000001,KPI,User_53,2023-05-21 06:05:00,login,FR,FR,1060.0,26.0,21.0,502.50000000000006,61.71226301029399,3578.0,10.336,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,6,
ISSUE-0018,KEY-0018,Insufficient Access Control Measures,1,Control Effectiveness,High,Open,Reporter 7,Assignee 20,2023-02-19,2025-11-23 01:08:23.556405,1008.0,76.58,Critical,Sales,Steps to resolve Insufficient Access Control Measures,1138382.0000000002,KPI,User_64,2023-02-19 21:52:00,file_access,FR,FR,1980.9999999999995,28.000000000000004,3.0,11384.0,70.835089715176,3540.0,20.166000000000004,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red,0,0,False,21,
ISSUE-0019,KEY-0019,Incomplete Risk Management Framework,1,Risk Management Maturity,High,In Progress,Reporter 6,Assignee 11,2025-06-30,2025-11-23 01:08:23.556405,146.00000000000003,68.16,Critical,HR,Steps to resolve Incomplete Risk Management Framework,1696571.0000000002,KPI,User_12,2025-06-30 04:20:00,login,USA,USA,1062.0,26.0,17.0,2417.0000000000005,40.06456455005305,3997.0,18.532,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,4,
ISSUE-0020,KEY-0020,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Open,Reporter 9,Assignee 4,2025-02-22,2025-11-23 01:08:23.556405,274.0,53.14000000000001,Critical,Legal,Steps to resolve Access by Unauthorized Personnel Detected,1727945.0,KRI,User_48,2025-02-22 05:55:00,login,IN,IN,1212.0,27.0,9.0,2985.0000000000005,24.606720374471006,6234.0,14.178,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,5,
ISSUE-0021,KEY-0021,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Closed,Reporter 6,Assignee 19,2024-10-08,2024-10-11 00:00:00.000000,2.9999999999999782,24.379999999999995,Critical,HR,Steps to resolve Insufficient Access Control Measures,1435412.5000000002,KPI,User_76,2024-10-08 20:30:00,data_modification,AU,AU,1550.0,26.0,21.0,5164.999999999999,58.04200712209144,3891.0,8.625999999999998,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True,20,
ISSUE-0022,KEY-0022,Inadequate Firewall Configurations,1,Network Security,Medium,In Progress,Reporter 6,Assignee 5,2025-07-29,2025-11-23 01:08:23.556405,117.0,81.77,Critical,C-Suite Executives,Steps to resolve Inadequate Firewall Configurations,958062.5,KPI,User_7,2025-07-29 17:25:00,file_access,CN,CN,1661.0,26.0,9.0,2409.9999999999995,41.902200269167736,3981.0,20.504000000000005,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,17,
ISSUE-0023,KEY-0023,Inconsistent Review of Security Policies,1,Management Oversight,Low,Resolved,Reporter 3,Assignee 13,2024-01-04,2024-01-09 00:00:00.000000,5.00000000000002,55.66,Critical,External Contractors,Steps to resolve Inconsistent Review of Security Policies,178932.5,KPI,User_55,2024-01-04 02:22:00,file_access,DE,EU,1100.0,26.0,15.000000000000002,1470.0,76.2433103618344,3307.0,14.482,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,2,
ISSUE-0024,KEY-0024,Supplier Security Compliance Gaps,1,Procurement Security,Low,Closed,Reporter 1,Assignee 10,2025-09-27,2025-10-04 00:00:00.000000,6.999999999999978,85.71000000000001,Critical,IT,Steps to resolve Supplier Security Compliance Gaps,488354.9999999999,KPI,User_29,2025-09-27 03:20:00,file_access,DE,CANADA,1391.0,30.0,24.0,2545.0,29.136522969672587,7350.0,20.492000000000004,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,3,
ISSUE-0025,KEY-0025,Detected Malware Infiltration in Internal Systems,1,Malware,Low,Open,Reporter 5,Assignee 13,2025-07-19,2025-11-23 01:08:23.556405,127.00000000000004,57.94,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,627265.0000000001,KRI,User_87,2025-07-19 03:53:00,login,AU,JP,900.0,26.0,12.0,1219.9999999999995,77.45478925067808,7826.0,15.288,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,3,
ISSUE-0026,KEY-0026,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,Closed,Reporter 5,Assignee 19,2025-09-14,2025-09-24 00:00:00.000000,10.00000000000004,45.96000000000001,Critical,IT,Steps to resolve Non-Compliance with Data Protection Regulations,227964.99999999988,KRI,User_78,2025-09-14 07:30:00,file_access,UK,UK,1255.0,26.0,9.0,2427.5,60.56240320218478,5211.0,12.742,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,7,
ISSUE-0027,KEY-0027,Supplier Security Compliance Gaps,1,Procurement Security,Low,Resolved,Reporter 7,Assignee 13,2024-07-28,2024-07-29 00:00:00.000000,1.0000000000000209,53.48,Critical,Finance,Steps to resolve Supplier Security Compliance Gaps,1196585.0000000002,KPI,User_76,2024-07-28 02:39:00,file_access,IN,CANADA,900.0,26.0,9.0,547.4999999999999,20.50466956804618,5300.0,13.695999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,2,
ISSUE-0028,KEY-0028,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Medium,In Progress,Reporter 7,Assignee 20,2024-11-05,2025-11-23 01:08:23.556405,383.0,24.45,Critical,HR,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1061005.0,KRI,User_72,2024-11-05 12:02:00,login,EU,EU,1907.0,26.0,3.0,6852.5,55.54040282968763,4220.0,8.84,High,Alert Security Team & Review Logs | Limit Data Transfer,Orange,1,1,True,12,
ISSUE-0029,KEY-0029,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Resolved,Reporter 5,Assignee 7,2024-10-13,2024-10-19 00:00:00.000000,6.000000000000041,63.57,Critical,Operations,Steps to resolve Insufficient Access Control Measures,2408597.5000000005,KPI,User_81,2024-10-13 12:46:00,data_modification,USA,USA,1578.0,26.0,9.0,607.5,52.38185976183681,7212.0,16.814000000000004,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,12,
ISSUE-0030,KEY-0030,Outdated Operating System Components,1,System Vulnerability,Low,In Progress,Reporter 3,Assignee 18,2024-09-05,2025-11-23 01:08:23.556405,444.0,80.46,Critical,Legal,Steps to resolve Outdated Operating System Components,2362327.5,KPI,User_35,2024-09-05 07:28:00,data_modification,Unknown,Unknown,1537.0,26.0,21.0,3667.5,56.30161822663476,6527.0,19.642,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,7,
ISSUE-0031,KEY-0031,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Resolved,Reporter 8,Assignee 10,2023-01-01,2023-01-08 00:00:00.000000,6.999999999999978,82.28999999999999,Critical,IT,Steps to resolve Weak Cloud Storage Access Controls,2419190.0,KRI,User_55,2023-01-01 19:42:00,login,JP,JP,1048.0,26.0,21.0,2006.0,21.724353506713165,6119.0,21.808000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,19,
ISSUE-0032,KEY-0032,Detected Malware Infiltration in Internal Systems,1,Malware,Low,Resolved,Reporter 6,Assignee 15,2023-10-17,2023-10-24 00:00:00.000000,6.999999999999978,34.81999999999999,Critical,External Contractors,Steps to resolve Detected Malware Infiltration in Internal Systems,617962.5,KRI,User_67,2023-10-17 17:22:00,login,CN,CN,2009.0,26.0,12.0,1495.0,50.70079501404741,3125.0,10.164,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,17,
ISSUE-0033,KEY-0033,Weak Authentication Protocols,1,Access Control,Low,In Progress,Reporter 5,Assignee 16,2024-11-05,2025-11-23 01:08:23.556405,383.0,29.72,Critical,Sales,Steps to resolve Weak Authentication Protocols,457197.5,KPI,User_68,2024-11-05 15:00:00,file_access,AU,AU,900.0,26.0,3.0,805.0,36.6075608108004,5843.0,9.143999999999998,Critical,Increase Monitoring & Schedule Review | Limit Data Transfer,Orange,0,0,False,15,
ISSUE-0034,KEY-0034,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Closed,Reporter 2,Assignee 1,2023-12-06,2023-12-12 00:00:00.000000,6.000000000000041,46.89,Critical,IT,Steps to resolve Detected Malware Infiltration in Internal Systems,588130.9999999999,KRI,User_85,2023-12-06 00:08:00,login,DE,DE,900.0,26.0,10.0,16547.0,65.22893086218133,3970.0,14.728,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,0,
ISSUE-0035,KEY-0035,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,Open,Reporter 1,Assignee 14,2023-08-30,2025-11-23 01:08:23.556405,816.0,61.33,Critical,C-Suite Executives,Steps to resolve Increased Exposure due to Insufficient Data Encryption,538019.9999999999,KRI,User_44,2023-08-30 01:34:00,data_modification,JP,JP,950.0,26.0,12.0,2957.5000000000005,46.58264311240788,5458.0,16.415999999999997,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,1,
ISSUE-0036,KEY-0036,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Closed,Reporter 5,Assignee 8,2024-03-09,2024-03-18 00:00:00.000000,9.00000000000002,45.79,Critical,C-Suite Executives,Steps to resolve Missing or Inaccurate Asset Records,1226549.0,KPI,User_100,2024-03-09 11:14:00,file_access,CANADA,CANADA,2351.0,26.0,17.0,6545.0,23.438302592780207,5612.0,14.557999999999998,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,11,
ISSUE-0037,KEY-0037,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,Resolved,Reporter 7,Assignee 18,2023-10-13,2023-10-14 00:00:00.000000,1.0000000000000209,60.29,Critical,C-Suite Executives,Steps to resolve Non-Compliance with Data Protection Regulations,581164.9999999999,KRI,User_53,2023-10-13 22:50:00,file_access,CN,CN,1522.0,31.0,17.0,1145.0,71.8768171007647,3678.0,17.208000000000002,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,22,
ISSUE-0038,KEY-0038,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Closed,Reporter 1,Assignee 11,2025-01-03,2025-01-05 00:00:00.000000,2.0000000000000417,2.56,Low,Sales,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1904582.5,KRI,User_91,2025-01-03 07:59:00,login,CN,CN,900.0,26.0,18.0,1380.0000000000002,45.582564292104,5894.0,2.3120000000000003,Low,No Action Needed | Limit Data Transfer,Green,2,2,False,7,
ISSUE-0039,KEY-0039,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,In Progress,Reporter 9,Assignee 20,2023-05-27,2025-11-23 01:08:23.556405,911.0,57.63,Critical,External Contractors,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1026305.0,KPI,User_50,2023-05-27 13:39:00,data_modification,AU,AU,1988.9999999999995,26.0,12.0,2247.4999999999995,67.51462529162355,7064.0,15.226,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,13,
ISSUE-0040,KEY-0040,Inconsistent Review of Security Policies,1,Management Oversight,Low,Resolved,Reporter 4,Assignee 15,2023-05-03,2023-05-06 00:00:00.000000,2.9999999999999782,36.77000000000001,Critical,Finance,Steps to resolve Inconsistent Review of Security Policies,2444930.0,KPI,User_44,2023-05-03 04:12:00,login,EU,EU,1052.0,26.0,15.000000000000002,2735.0,22.27648541657128,3148.0,10.354,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,4,
ISSUE-0041,KEY-0041,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,Open,Reporter 8,Assignee 20,2024-08-07,2025-11-23 01:08:23.556405,473.0,45.94,Critical,External Contractors,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,2249252.0,KRI,User_50,2024-08-07 04:43:00,data_modification,CANADA,FR,900.0,28.000000000000004,28.0,709.9999999999999,46.425951929395886,4221.0,14.088,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,4,
ISSUE-0042,KEY-0042,Outdated Operating System Components,1,System Vulnerability,High,Resolved,Reporter 8,Assignee 2,2024-08-24,2024-09-01 00:00:00.000000,7.999999999999999,16.02,Critical,C-Suite Executives,Steps to resolve Outdated Operating System Components,431804.0,KPI,User_45,2024-08-24 01:41:00,login,DE,DE,1333.0,26.0,13.0,5836.999999999999,79.01615389207865,5325.0,8.254,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True,1,
ISSUE-0043,KEY-0043,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 8,Assignee 10,2025-11-13,2025-11-18 00:00:00.000000,5.00000000000002,53.58,Critical,HR,Steps to resolve Incomplete Risk Management Framework,2484687.5,KPI,User_61,2025-11-13 23:23:00,file_access,UK,UK,900.0,26.0,9.0,1007.5000000000002,31.17102072411032,4981.0,14.666,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,23,
ISSUE-0044,KEY-0044,Inconsistent Review of Security Policies,1,Management Oversight,High,Closed,Reporter 9,Assignee 20,2025-05-29,2025-06-02 00:00:00.000000,4.0,26.51,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,1152971.0,KPI,User_49,2025-05-29 11:03:00,login,IN,IN,1070.0,26.0,13.0,5276.0,60.220972412279096,4849.0,10.152,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,11,
ISSUE-0045,KEY-0045,Incomplete Risk Management Framework,1,Risk Management Maturity,High,In Progress,Reporter 7,Assignee 16,2025-11-16,2025-11-23 01:08:23.556405,6.999999999999978,78.72,Critical,C-Suite Executives,Steps to resolve Incomplete Risk Management Framework,1657607.0,KPI,User_80,2025-11-16 04:53:00,file_access,Unknown,Unknown,989.0,26.0,6.0,1570.9999999999998,65.23136338666748,6985.0,20.744000000000003,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,4,
ISSUE-0046,KEY-0046,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Closed,Reporter 5,Assignee 8,2024-10-21,2024-10-29 00:00:00.000000,7.999999999999999,26.77,Critical,C-Suite Executives,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2268050.0,KPI,User_77,2024-10-21 17:04:00,login,UK,UK,900.0,31.0,13.0,1754.0,35.95971322444332,5779.0,10.753999999999998,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,17,
ISSUE-0047,KEY-0047,Outdated Operating System Components,1,System Vulnerability,Medium,Closed,Reporter 4,Assignee 9,2024-11-09,2024-11-16 00:00:00.000000,6.999999999999978,111.22,Critical,Finance,Steps to resolve Outdated Operating System Components,2145095.0,KPI,User_54,2024-11-09 00:49:00,data_modification,DE,DE,1931.0,26.0,6.0,2265.0,32.755834764553065,3153.0,65.794,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,0,True
ISSUE-0048,KEY-0048,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Open,Reporter 1,Assignee 16,2024-01-23,2025-11-23 01:08:23.556405,670.0,79.28999999999999,Critical,Legal,Steps to resolve Weak Cloud Storage Access Controls,1560881.0,KRI,User_14,2024-01-23 10:12:00,file_access,IN,IN,900.0,28.000000000000004,21.0,3347.0,71.23212810443957,6806.0,21.058000000000007,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,10,
ISSUE-0049,KEY-0049,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Critical,Open,Reporter 5,Assignee 4,2024-08-29,2025-11-23 01:08:23.556405,451.00000000000006,34.89000000000001,Critical,Finance,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1579694.0,KRI,User_32,2024-08-29 10:08:00,data_modification,JP,JP,900.0,26.0,10.0,1759.9999999999998,75.71182496987066,7281.0,12.678000000000004,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,10,
ISSUE-0050,KEY-0050,Inadequate Firewall Configurations,1,Network Security,High,Open,Reporter 1,Assignee 6,2024-10-02,2025-11-23 01:08:23.556405,417.00000000000006,64.8,Critical,C-Suite Executives,Steps to resolve Inadequate Firewall Configurations,2545532.0,KPI,User_25,2024-10-02 10:15:00,file_access,JP,CANADA,1179.0,26.0,3.0,7696.999999999999,32.43251448864369,7025.0,17.810000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red,0,0,False,10,
ISSUE-0051,KEY-0051,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,Resolved,Reporter 10,Assignee 8,2024-10-26,2024-11-04 00:00:00.000000,9.00000000000002,108.06000000000002,Critical,Finance,Steps to resolve Delayed Patching of Known Vulnerabilities,849416.0,KPI,User_43,2024-10-26 20:08:00,login,JP,USA,1443.0,26.0,10.0,1804.9999999999995,61.23354499347825,7977.0,26.812000000000005,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,20,
